CodeClass,Name,Accession
Endogenous,ENSORLG00000019168,ENSORLT00000023887.1
Endogenous,ENSORLG00000002629,ENSORLT00000003273.1
Endogenous,ENSORLG00000008715,XM_011477210.1
Endogenous,ENSORLG00000006046,ENSORLT00000007598.1
Endogenous,ENSORLG00000003571,XM_011488703.1
Endogenous,ENSORLG00000002182,XM_011480733.1
Endogenous,ENSORLG00000020473,ENSORLT00000025367.1
Endogenous,ENSORLG00000017153,ENSORLT00000021463.1
Endogenous,ENSORLG00000019576,ENSORLT00000024356.1
Endogenous,ENSORLG00000014358,XM_004068168.2
Endogenous,ENSORLG00000006451,XM_011481711.1
Endogenous,ENSORLG00000013461,XM_011477435.1
Endogenous,ENSORLG00000010656,ENSORLT00000013356.1
Endogenous,ENSORLG00000006269,XM_004079797.2
Endogenous,ENSORLG00000007554,XM_004071645.2
Endogenous,ENSORLG00000004452,ENSORLT00000005585.1
Endogenous,ENSORLG00000019328,ENSORLT00000024068.1
Endogenous,ENSORLG00000001780,ENSORLT00000002213.1
Endogenous,ENSORLG00000014854,ENSORLT00000018624.1
Endogenous,ENSORLG00000011996,XM_011485247.1
Endogenous,ENSORLG00000011849,ENSORLT00000014845.1
Endogenous,ENSORLG00000015001,XM_004069118.2
Endogenous,ENSORLG00000002102,XM_004073771.2
Endogenous,ENSORLG00000018575,XM_011494514.1
Endogenous,ENSORLG00000019686,ENSORLT00000024470.1
Endogenous,ENSORLG00000003850,XM_004073247.2
Endogenous,ENSORLG00000010177,ENSORLT00000012761.1
Endogenous,ENSORLG00000012679,ENSORLT00000015885.1
Endogenous,ENSORLG00000009400,ENSORLT00000011786.1
Endogenous,ENSORLG00000006142,ENSORLT00000007721.1
Endogenous,ENSORLG00000019556,XM_004084500.2
Endogenous,ENSORLG00000010987,ENSORLT00000013782.1
Endogenous,ENSORLG00000015055,ENSORLT00000018869.1
Endogenous,ENSORLG00000007024,XM_004070429.2
Endogenous,ENSORLG00000000813,XM_011474649.1
Endogenous,ENSORLG00000002478,ENSORLT00000003080.1
Endogenous,ENSORLG00000004413,XM_011484715.1
Endogenous,ENSORLG00000000597,ENSORLT00000000736.1
Endogenous,ENSORLG00000018856,ENSORLT00000023543.1
Endogenous,ENSORLG00000009426,XM_011483642.1
Endogenous,ENSORLG00000017109,ENSORLT00000021410.1
Endogenous,ENSORLG00000012828,XM_011482862.1
Endogenous,ENSORLG00000013629,ENSORLT00000017096.1
Endogenous,ENSORLG00000020370,ENSORLT00000025249.1
Endogenous,ENSORLG00000001112,XM_004069387.2
Endogenous,ENSORLG00000020013,ENSORLT00000024841.1
Endogenous,ENSORLG00000004774,ENSORLT00000006007.1
Endogenous,ENSORLG00000006368,ENSORLT00000007999.1
Endogenous,ENSORLG00000010473,NM_001201522.1
Endogenous,ENSORLG00000020643,XM_004086009.2
Endogenous,ENSORLG00000007232,XM_011473978.1
Endogenous,ENSORLG00000016829,ENSORLT00000021055.1
Endogenous,ENSORLG00000010054,ENSORLT00000012611.1
Endogenous,ENSORLG00000005687,XM_004067861.2
Endogenous,ENSORLG00000015951,ENSORLT00000019966.1
Endogenous,ENSORLG00000001386,XM_004066456.2
Endogenous,ENSORLG00000015192,XM_004071820.1
Endogenous,ENSORLG00000012352,XM_004077975.2
Endogenous,ENSORLG00000005554,XM_004077072.2
Endogenous,ENSORLG00000016606,ENSORLT00000020788.1
Endogenous,ENSORLG00000005891,XM_004076372.2
Endogenous,ENSORLG00000018598,ENSORLT00000023250.1
Endogenous,ENSORLG00000005361,ENSORLT00000006755.1
Endogenous,ENSORLG00000018470,ENSORLT00000023108.1
Endogenous,ENSORLG00000011733,XM_004069721.2
Endogenous,ENSORLG00000005458,XM_004071605.2
Endogenous,ENSORLG00000005073,ENSORLT00000006392.1
Endogenous,ENSORLG00000020751,ENSORLT00000025699.1
Endogenous,ENSORLG00000006390,XM_011487465.1
Endogenous,ENSORLG00000017163,ENSORLT00000021474.1
Endogenous,ENSORLG00000012977,ENSORLT00000016262.1
Endogenous,ENSORLG00000014821,XM_011482981.1
Endogenous,ENSORLG00000008608,ENSORLT00000010798.1
Endogenous,ENSORLG00000019336,ENSORLT00000024076.1
Endogenous,ENSORLG00000001050,XM_011478736.1
Endogenous,ENSORLG00000017504,ENSORLT00000021888.1
Endogenous,ENSORLG00000011569,ENSORLT00000014495.1
Endogenous,ENSORLG00000005665,XM_004078040.2
Endogenous,ENSORLG00000011398,XM_004075813.2
Endogenous,ENSORLG00000002045,XM_004073137.2
Endogenous,ENSORLG00000018417,ENSORLT00000023049.1
Endogenous,ENSORLG00000008473,ENSORLT00000010639.1
Endogenous,ENSORLG00000006356,XM_004065888.2
Endogenous,ENSORLG00000014926,XM_011478526.1
Endogenous,ENSORLG00000019338,ENSORLT00000024075.1
Endogenous,ENSORLG00000015824,XM_004078351.2
Endogenous,ENSORLG00000014766,XM_004067988.2
Endogenous,ENSORLG00000000491,XM_004073053.2
Endogenous,ENSORLG00000004247,NM_001278890.1
Endogenous,ENSORLG00000005588,ENSORLT00000007029.1
Endogenous,ENSORLG00000008028,XM_004071422.2
Endogenous,ENSORLG00000002966,XM_011480019.1
Endogenous,ENSORLG00000005244,NM_001104859.1
Endogenous,ENSORLG00000007126,XM_004072384.2
Endogenous,ENSORLG00000010364,ENSORLT00000012983.1
Endogenous,ENSORLG00000005199,XM_011479069.1
Endogenous,ENSORLG00000008419,XM_011489153.1
Endogenous,ENSORLG00000015618,XM_011489635.1
Endogenous,ENSORLG00000017835,ENSORLT00000022319.1
Endogenous,ENSORLG00000005961,ENSORLT00000007504.1
Endogenous,ENSORLG00000000823,XM_004068479.2
Endogenous,ENSORLG00000007765,XM_004067830.2
Endogenous,ENSORLG00000020164,XM_011480635.1
Endogenous,ENSORLG00000008701,XM_011489213.1
Endogenous,ENSORLG00000013974,XM_011475411.1
Endogenous,ENSORLG00000008060,XM_004072409.2
Endogenous,ENSORLG00000012958,NM_001204787.1
Endogenous,ENSORLG00000003181,XM_011487870.1
Endogenous,ENSORLG00000007987,XM_004070013.2
Endogenous,ENSORLG00000015952,XM_004069155.2
Endogenous,ENSORLG00000000945,ENSORLT00000001149.1
Endogenous,ENSORLG00000019589,XM_004084060.2
Endogenous,ENSORLG00000020198,ENSORLT00000025055.1
Endogenous,ENSORLG00000014802,XM_004068185.2
Endogenous,ENSORLG00000015186,XM_011485684.1
Endogenous,ENSORLG00000007929,XM_011478160.1
Endogenous,ENSORLG00000006224,ENSORLT00000007822.1
Endogenous,ENSORLG00000003410,XM_004071278.2
