ID,20170615_lu-test2_01_01.RCCprocessed.csv,20170615_lu-test2_01_02.RCCprocessed.csv,20170615_lu-test2_01_03.RCCprocessed.csv,20170615_lu-test2_01_04.RCCprocessed.csv,20170615_lu-test2_01_05.RCCprocessed.csv,20170615_lu-test2_01_06.RCCprocessed.csv,20170615_lu-test2_01_07.RCCprocessed.csv,20170615_lu-test2_01_08.RCCprocessed.csv,20170615_lu-test2_01_09.RCCprocessed.csv,20170615_lu-test2_01_10.RCCprocessed.csv,20170615_lu-test2_01_11.RCCprocessed.csv,20170615_lu-test2_01_12.RCCprocessed.csv,20170615_lu-test3_01_01.RCCprocessed.csv,20170615_lu-test3_01_02.RCCprocessed.csv,20170615_lu-test3_01_03.RCCprocessed.csv,20170615_lu-test3_01_04.RCCprocessed.csv,20170615_lu-test3_01_05.RCCprocessed.csv,20170615_lu-test3_01_06.RCCprocessed.csv,20170615_lu-test3_01_07.RCCprocessed.csv,20170615_lu-test3_01_08.RCCprocessed.csv,20170615_lu-test3_01_09.RCCprocessed.csv,20170615_lu-test3_01_10.RCCprocessed.csv,20170615_lu-test3_01_11.RCCprocessed.csv,20170615_lu-test3_01_12.RCCprocessed.csv,20170616_lu-test4_01_01.RCCprocessed.csv,20170616_lu-test4_01_02.RCCprocessed.csv,20170616_lu-test4_01_03.RCCprocessed.csv,20170616_lu-test4_01_04.RCCprocessed.csv,20170616_lu-test4_01_05.RCCprocessed.csv,20170616_lu-test4_01_06.RCCprocessed.csv,20170616_lu-test4_01_07.RCCprocessed.csv,20170616_lu-test4_01_08.RCCprocessed.csv,20170616_lu-test4_01_09.RCCprocessed.csv,20170616_lu-test4_01_10.RCCprocessed.csv,20170616_lu-test4_01_11.RCCprocessed.csv,20170616_lu-test4_01_12.RCCprocessed.csv,20170616_lu-test5_01_01.RCCprocessed.csv,20170616_lu-test5_01_02.RCCprocessed.csv,20170616_lu-test5_01_03.RCCprocessed.csv,20170616_lu-test5_01_04.RCCprocessed.csv,20170616_lu-test5_01_05.RCCprocessed.csv,20170616_lu-test5_01_06.RCCprocessed.csv,20170616_lu-test5_01_07.RCCprocessed.csv,20170616_lu-test5_01_08.RCCprocessed.csv,20170616_lu-test5_01_09.RCCprocessed.csv,20170616_lu-test5_01_10.RCCprocessed.csv,20170616_lu-test5_01_11.RCCprocessed.csv,20170616_lu-test5_01_12.RCCprocessed.csv
ENSORLG00000019168,22,2,2,11,0,2,18,21,2,10,11,19,3,6,53,16,13,3,9,8,18,6,11,10,22,4,4,44,9,15,4,9,8,4,82,31,8,25,29,13,126,98,32,81,88,85,75,82
ENSORLG00000002629,89,37,6,110,22,17,186,129,27,9,22,94,23,55,164,198,19,53,116,22,60,39,24,27,74,6,7,86,24,14,8,14,15,5,131,31,15,42,37,35,544,395,88,210,169,115,141,127
ENSORLG00000008715,109,16,7,111,39,19,195,175,59,45,31,152,25,44,50,212,46,61,67,40,128,50,61,49,450,34,18,197,60,44,33,12,79,24,561,86,46,135,174,53,774,533,142,365,289,249,298,320
ENSORLG00000006046,32,5,4,25,5,5,42,22,6,4,4,34,9,12,50,47,10,14,25,8,29,17,6,8,44,3,16,51,21,20,1,7,16,6,180,52,20,20,44,17,119,85,27,64,71,79,69,106
ENSORLG00000003571,29,13,6,19,6,3,50,25,9,5,8,81,15,22,60,68,15,13,33,20,29,10,23,17,66,6,26,105,20,40,10,7,7,6,306,43,13,28,44,15,154,130,47,103,88,90,108,114
ENSORLG00000002182,711,134,46,595,89,55,776,284,368,59,126,545,149,143,836,1406,219,204,557,174,739,333,211,271,785,76,153,1236,362,255,117,124,229,126,3547,1093,282,590,747,448,2160,1624,663,1333,1384,1298,1417,1616
ENSORLG00000020473,12,12,3,37,9,5,60,46,15,11,10,64,16,24,50,56,7,23,16,21,64,29,27,22,133,6,5,119,19,22,9,15,27,12,95,28,21,51,64,28,226,156,51,114,137,108,111,125
ENSORLG00000017153,56,33,9,112,5,11,184,73,39,13,15,144,19,21,150,167,23,9,49,57,14,7,17,12,17,4,1,22,13,1,4,6,8,2,26,4,17,16,18,9,327,208,42,103,83,48,67,61
ENSORLG00000019576,101,11,3,43,13,7,30,17,10,5,2,8,12,11,37,30,11,12,27,8,38,23,19,17,54,3,2,27,14,1,2,7,5,9,47,17,14,23,66,19,185,148,59,104,105,99,97,100
ENSORLG00000014358,251,84,24,316,68,52,731,316,174,102,94,726,131,117,293,426,78,119,218,60,203,91,106,92,438,37,53,672,153,96,53,34,97,37,951,294,105,151,243,145,2338,1455,274,878,589,422,486,478
ENSORLG00000006451,106,30,9,103,27,10,136,103,54,14,27,82,38,35,159,162,42,45,103,39,120,65,50,55,137,19,17,168,49,40,32,14,41,12,307,93,48,85,113,60,482,402,165,337,337,307,331,396
ENSORLG00000013461,163,31,14,186,28,20,267,135,72,14,35,206,51,56,189,421,69,85,175,66,163,84,67,73,308,27,48,472,88,93,52,34,76,34,911,218,69,142,286,167,1315,791,200,679,481,427,510,520
